Knowledge preparation completed in 9.73 seconds
[43]: [Cumulative]: Semantic Similarity: 0.43663,	 cache time: 0.0015896071087230337,	 generate time: 0.0020120631564747205
[44]: Semantic Similarity: 0.98604,	cache time: 0.0010004043579101562,	generate time: 0.0019998550415039062
[44]: [Cumulative]: Semantic Similarity: 0.44884,	 cache time: 0.0015765137142605252,	 generate time: 0.0020117918650309247
[45]: Semantic Similarity: 0.73173,	cache time: 0.0009949207305908203,	generate time: 0.0019986629486083984
[45]: [Cumulative]: Semantic Similarity: 0.45499,	 cache time: 0.0015638703885285752,	 generate time: 0.002011506453804348
[46]: Semantic Similarity: 0.39971,	cache time: 0.001999378204345703,	generate time: 0.0020020008087158203
[46]: [Cumulative]: Semantic Similarity: 0.45381,	 cache time: 0.001573136512269365,	 generate time: 0.0020113042060365066
[47]: Semantic Similarity: 0.52173,	cache time: 0.001995563507080078,	generate time: 0.0019996166229248047
[47]: [Cumulative]: Semantic Similarity: 0.45523,	 cache time: 0.0015819370746612549,	 generate time: 0.0020110607147216797
[48]: Semantic Similarity: 0.62694,	cache time: 0.002001047134399414,	generate time: 0.0030045509338378906
[48]: [Cumulative]: Semantic Similarity: 0.45873,	 cache time: 0.0015904903411865234,	 generate time: 0.002031336025315888
[49]: Semantic Similarity: 0.01098,	cache time: 0.0009908676147460938,	generate time: 0.0019426345825195312
[49]: [Cumulative]: Semantic Similarity: 0.44978,	 cache time: 0.0015784978866577148,	 generate time: 0.002029561996459961
[50]: Semantic Similarity: 0.66569,	cache time: 0.0009984970092773438,	generate time: 0.0019996166229248047
[50]: [Cumulative]: Semantic Similarity: 0.45401,	 cache time: 0.0015671253204345703,	 generate time: 0.0020289748322729973
[51]: Semantic Similarity: 0.10707,	cache time: 0.0020017623901367188,	generate time: 0.002008199691772461
[51]: [Cumulative]: Semantic Similarity: 0.44734,	 cache time: 0.00157548372562115,	 generate time: 0.0020285753103402946
[52]: Semantic Similarity: 0.40145,	cache time: 0.0020062923431396484,	generate time: 0.0019998550415039062
[52]: [Cumulative]: Semantic Similarity: 0.44647,	 cache time: 0.0015836121901026312,	 generate time: 0.002028033418475457
[53]: Semantic Similarity: 0.40611,	cache time: 0.0009980201721191406,	generate time: 0.0020003318786621094
[53]: [Cumulative]: Semantic Similarity: 0.44572,	 cache time: 0.0015727678934733074,	 generate time: 0.002027520426997432
[54]: Semantic Similarity: 0.43988,	cache time: 0.0009953975677490234,	generate time: 0.0018756389617919922
[54]: [Cumulative]: Semantic Similarity: 0.44562,	 cache time: 0.0015622702511874113,	 generate time: 0.0020247589458118787
[55]: Semantic Similarity: 0.29019,	cache time: 0.0020008087158203125,	generate time: 0.002007722854614258
[55]: [Cumulative]: Semantic Similarity: 0.44284,	 cache time: 0.001570101295198713,	 generate time: 0.002024454729897635
[56]: Semantic Similarity: 0.54593,	cache time: 0.0030002593994140625,	generate time: 0.004002094268798828
[56]: [Cumulative]: Semantic Similarity: 0.44465,	 cache time: 0.0015951917882551228,	 generate time: 0.002059150160404674
[57]: Semantic Similarity: 1.0,	cache time: 0.0009996891021728516,	generate time: 0.002006053924560547
