Retriever BM25 prepared in 0.23427081108093262 seconds
[45]: [Cumulative]: Semantic Similarity: 0.45465,	 retrieve time: 0.0007822461750196374,	 generate time: 1.5874982813130254
[46]: Semantic Similarity: 0.41543,	retrieve time: 0.0012776851654052734,	generate time: 2.874067783355713
[46]: [Cumulative]: Semantic Similarity: 0.45381,	 retrieve time: 0.0007927874301342254,	 generate time: 1.614872100505423
[47]: Semantic Similarity: 0.66586,	retrieve time: 0.0,	generate time: 2.8158295154571533
[47]: [Cumulative]: Semantic Similarity: 0.45823,	 retrieve time: 0.0007762710253397623,	 generate time: 1.6398920466502507
[48]: Semantic Similarity: 0.65965,	retrieve time: 0.0010004043579101562,	generate time: 2.7697865962982178
[48]: [Cumulative]: Semantic Similarity: 0.46234,	 retrieve time: 0.0007808451749840562,	 generate time: 1.662951119092046
[49]: Semantic Similarity: 0.04213,	retrieve time: 0.00099945068359375,	generate time: 2.751614570617676
[49]: [Cumulative]: Semantic Similarity: 0.45393,	 retrieve time: 0.00078521728515625,	 generate time: 1.6847243881225586
[50]: Semantic Similarity: 0.66542,	retrieve time: 0.0,	generate time: 2.805345296859741
[50]: [Cumulative]: Semantic Similarity: 0.45808,	 retrieve time: 0.0007698208678002451,	 generate time: 1.7066973471174054
[51]: Semantic Similarity: 0.15447,	retrieve time: 0.0,	generate time: 2.7902400493621826
[51]: [Cumulative]: Semantic Similarity: 0.45224,	 retrieve time: 0.0007550166203425481,	 generate time: 1.7275347067759588
[52]: Semantic Similarity: 0.46854,	retrieve time: 0.0009937286376953125,	generate time: 2.7762720584869385
[52]: [Cumulative]: Semantic Similarity: 0.45255,	 retrieve time: 0.0007595206206699588,	 generate time: 1.7473222039780527
[53]: Semantic Similarity: 0.40882,	retrieve time: 0.001001119613647461,	generate time: 2.7973127365112305
[53]: [Cumulative]: Semantic Similarity: 0.45174,	 retrieve time: 0.0007639946760954681,	 generate time: 1.7667664730990376
[54]: Semantic Similarity: 0.47507,	retrieve time: 0.0,	generate time: 2.8616943359375
[54]: [Cumulative]: Semantic Similarity: 0.45216,	 retrieve time: 0.0007501038638028231,	 generate time: 1.7866742524233732
[55]: Semantic Similarity: 0.95074,	retrieve time: 0.0,	generate time: 2.794125556945801
[55]: [Cumulative]: Semantic Similarity: 0.46107,	 retrieve time: 0.0007367091519492013,	 generate time: 1.8046644542898451
[56]: Semantic Similarity: 0.52511,	retrieve time: 0.0,	generate time: 2.9524576663970947
[56]: [Cumulative]: Semantic Similarity: 0.46219,	 retrieve time: 0.0007237844299851803,	 generate time: 1.8248011773092705
[57]: Semantic Similarity: 0.23226,	retrieve time: 0.0009920597076416016,	generate time: 3.932356119155884
[57]: [Cumulative]: Semantic Similarity: 0.45823,	 retrieve time: 0.0007284098658068426,	 generate time: 1.8611383314790397
[58]: Semantic Similarity: 0.47409,	retrieve time: 0.0009949207305908203,	generate time: 2.118720769882202
[58]: [Cumulative]: Semantic Similarity: 0.4585,	 retrieve time: 0.000732926999108266,	 generate time: 1.8655041355197712
[59]: Semantic Similarity: 0.12058,	retrieve time: 0.0009968280792236328,	generate time: 2.876156806945801
[59]: [Cumulative]: Semantic Similarity: 0.45286,	 retrieve time: 0.0007373253504435221,	 generate time: 1.8823483467102051
[60]: Semantic Similarity: 0.64535,	retrieve time: 0.0010020732879638672,	generate time: 2.942232131958008
[60]: [Cumulative]: Semantic Similarity: 0.45602,	 retrieve time: 0.0007416654805668065,	 generate time: 1.8997234907306608
[61]: Semantic Similarity: 0.89303,	retrieve time: 0.0010266304016113281,	generate time: 2.7927281856536865
[61]: [Cumulative]: Semantic Similarity: 0.46307,	 retrieve time: 0.0007462616889707504,	 generate time: 1.9141267922616774
[62]: Semantic Similarity: 0.72372,	retrieve time: 0.0010075569152832031,	generate time: 2.887498378753662
